Lens ID,Abstract_trim_2_string,cluster
074-632-781-234-90X,disciplin commonli use denot particular area research educ concept often defin even explicitli discuss use organis relat aim articl encourag facilit reflect academ disciplin time offer insight elus concept might understood overarch argument disciplin foremost understood relat institut organis featur distinguish relat domain topic etymolog histori concept review along discuss attempt defin conceptualis disciplin insight offer disciplin might regardless view disciplin either inher date construct import featur function academia conclud precis care explic concept,Cluster 04
076-147-310-562-230,overview nomenclatur histori characterist structur use manag process limit futur nomenclatur museum catalog bilingu english french structur control list object system basi catalog collect human made object illustr bibliograph refer guid use creation manag object record human histori collect museum focus object relev north american histori cultur first publish 1978 nomenclatur extens use museum control vocabulari histor ethnolog collect north america repres therebi facto standard onlin refer version nomenclatur made avail 2018 avail open licens 2020,Cluster 11
076-823-648-953-459,area around identif refer relationship establish ration basi among other methodolog system select evalu revis terminolog system establish relat twenti warrant literari cultur propos unequ autonom literatur area intend introduc initi note comment advanc toward overal concept warrant notion purpos express warrant word gener languag special languag scope applic warrant establish next warrant place propos rland categor theori method empiric ration historic pragmat line research problem identifi typolog tabl data warrant establish propos first conclus drawn,Cluster 07
078-012-100-970-29X,mine product review sentiment analysi great signific whether academ research purpos optim busi strategi propos featur level sentiment analysi framework rule pars fine grain domain ontolog chines review fine grain ontolog use describ synonym express product featur reflect word chang onlin review first semiautomat construct method use word2vec fine grain ontolog featur level sentiment analysi combin rule pars fine grain domain ontolog conduct extract explicit implicit featur product review final domain sentiment dictionari context sentiment dictionari establish identifi sentiment polar extract featur sentiment combin experi conduct basi product review crawl chines commerc websit result demonstr effect,Cluster 03
078-470-148-980-604,insight depth breadth use across disciplin vital import map visual empir evid collect characterist cluster disciplin report collabor effort sever year combin resourc space lab research innov group particular interest narr system chang time system evolv complex system analysi concern inner structur evolut time implement space import better understand produc navig,Cluster 04
081-472-552-790-009,matter immut seem artifact human imagin function particular place time describ person inquiri represent process trace chang perspect view evalu pose follow question process enabl constrain know someth discov someth alreadi know might enhanc abil discov meaning store form scholarli everyday live might mask distort might serv disenfranchis peopl idea question consid discuss structur person link theori everyday translat cognit aspect brows genr warrant difficulti navig complex ontolog commit thread import context seen respect human endeavor gener,Cluster 11
085-964-441-290-42X,data defin scholarli journal public whose primari purpos describ research data survey insight environ data disciplin publish busi model structur length format metadata licens data product emerg ecosystem data driven open contribut fair principl research data manag howev boundari categori academ publish partli blur data gener automat potenti machin readabl data essenti descript data partli contribut gener data new ecosystem open data driven data data journal interest relev object assess understand transit former system academ publish,Cluster 05
092-107-960-468-848,comprehens evalu criteria name evalu ontolog propos criterion defin togeth capabl evalu ontolog aspect process use evalu demonstr evalu chemic ontolog purpos ontolog domain agricultur chemic construct follow human centric facet ontolog construct hcfoc evalu use result obtain evalu insight ontolog construct ontolog aim support system tri support farmer process decis make select chemic use agricultur envisag demonstr ontolog evalu criteria name redefin ontolog evalu make easi make strong impact ontolog,Cluster 07
093-639-455-889-549,physh physic head american physic societi first use 2016 facet hierarch control vocabulari physic basic relat mainli purpos associ submit publish physic review famili journal scheme level dimension dimens label disciplin repres profession divis physic dimens label facet conceptu partit physh preced use physic astronomi scheme turn preced histori relat vocabulari categor briefli discuss,Cluster 04
099-651-790-941-367,articl show visual represent progress taken lead classic languag model adopt theoret histor perspect focus consequ chang volum data gener data product model data visual tool use mainli research expertis textual data process comput linguist tool access greater number new issu stake profess institut gather data contribut defin new standard represent,Cluster 07
101-548-643-785-143,1965 2001 patrick wilson brought acuiti profession philosoph becam major theorist mani aspect articl extens critic introduct thought reflect view much perman valu read critiqu instrument write retriev bibliograph side read shrewd account person behavior respect societ system social epistemolog side inde side converg theme prefer human consult bibliographi catalog answer question write length social possibl consult degre cognit commun know anoth theme desir write possibl util help individu howev saw littl hope third theme ideal system broadli read clarif concept side bibliograph control relev indeterminaci overload librarian role,Cluster 01
101-931-016-895-249,about rank amongst greatest bugbear known mirror debat philosophi languag concept represent similarli evad satisfactori definit propos abandon strong sens word about seem promis inher relationship word world instead seek etymolog reset sens about vicin nearbi place variou place nearbi surfac distinguish sens introduc episemant independ appli slightli context scale hauser 2018a tenni 2016 articl unifi definit guidelin appli scale word result weak concept about pragmat star sens focu consequ anteced reserv space critiqu improv about determin variou context research program finish discuss implic concept episemant methodolog possibl offer research practic,Cluster 07
103-683-153-528-499,use databas name biographi dnb exampl explor transform origin data link data semant enrich enhanc engag digit human preliminari result defin instanc schema categori semant enrich instanc categori enrich occur enhanc content entiti determin type enrich entiti link divers extern resourc order addit data multipl perspect enrich entiti data satisfi semant queri entiti access extend schema categori enrich occur enhanc relat properti identifi type enrich properti defin hierarch relat properti specifi properti domain rang data reason addit implement lod dataset digit human platform demonstr instanc entiti appli full text relationship entiti highlight order bring scholar semant detail text,Cluster 01
111-417-084-591-248,review literatur relat applic domain specif thesauri search retriev process focus adopt centr review survey methodolog result empir undertaken use thesauri sourc select queri formul expans search process summari domain specif thesauri disciplin use variou type tool select search review consist main section cover firstli thesauru aid search select secondli deal queri expans use thesauri section illustr case adopt centr,Cluster 00
117-110-543-208-845,research use stakehold discov evalu plan research activ netherland institut task stewardship nation research data archiv network servic home narci nation portal research use similarli name nation research narci assign symbol repres contribut scholar recent research stream known compar use experiment gener empir evid coverag conceptu content popul class economi build research order understand compar impact narci alongsid design specif resourc case come project organi zation system observatori koso classifi use code icc creat 1982 ingetraut dahlberg icc consid merit univers facet result exploratori indic fairli precis coverag inflex narci make difficult express complex concept meta ontolog epistem stanc icc appar aspect use togeth observatori clariti scientif posit ontolog rel,Cluster 10
120-465-396-538-465,music resourc piec music opaqu everyon highest level music educ averag listen specif vocabulari music usual replac metaphor languag relat inspir music affect social perspect music specif theoret languag relat perspect music histor commun event examin architectur organiz theori surfac inner music relat consid music seri design resourc compos draw upon accord seri constraint creat sens music structur listen relat gener introduct literatur relat constraint creativ use histor anecdot access demonstr musician seventeenth twentieth centuri music resourc composit purpos didact commun,Cluster 08
120-820-618-313-83X,flickr launch digit camera first began outsel analog camera peopl drawn site opportun offer store share imag connect could made like mind peopl articl examin link flickr success imag site type peopl use flickr motiv factor contribut flickr demis popular explor articl finish suggest flickr could futur along conclus imag,Cluster 05
124-748-119-715-692,principl proven import mileston archiv practic theori time establish ground scientif dimens archiv disciplin nineteenth centuri sinc proven document context support archiv especi descript procedur relationship gradual refin year experi european archiv order system histor principl proven pivot moment archiv theori crucial understand natur record archiv howev archiv theori principl proven still correspond singl singl definit scarc normal terminolog remain problem archiv lead lack consensu divis principl proven origin order recent concept proven address mani disciplin comput visual analyt appli domain cloud storag preserv digit record digit evid digit human open data link data use proven reach new domain longer principl mean reach authent reliabl data object digit environ museum reestablish origin relationship collect,Cluster 10
125-672-379-353-323,aim trace scenario use control vocabulari tool research scope represent retriev institut archiv collect order highlight greater emphasi represent archiv academ increas visibl analysi collect question content relev societi investig current scenario use control vocabulari archiv collect janeiro theoret methodolog chang aris impact technolog analysi represent content retriev contemporari world represent associ retriev gap archiv area regard express represent descript nineteenth centuri theoret methodolog aspect theoret survey represent public interdisciplinari area oper methodolog questionnair appli agenc use control vocabulari relat treatment archiv collect conclud demonstr import adopt concept represent archiv use control vocabulari associ new technolog ecolog consolid area scientif interdisciplinari,Cluster 07
132-396-141-682-245,articl identifi core literatur avail flood ontolog review ontolog variou perspect like purpos type design methodolog ontolog use focu specif flood disast phase conduct stage literatur identif systemat literatur review methodolog employ ontolog review parametr appli result fourteen discuss flood ontolog ontolog review reveal flood ontolog task ontolog formal modular use web ontolog languag owl represent use ontolog sweet time space methontolog prefer design methodolog evalu applic data prefer major ontolog built around respons phase disast unavail full ontolog somewhat restrict current structur ontolog metric scientif commun flood disast manag system refer research see avail literatur flood ontolog major domain essenti build,Cluster 07
138-254-519-618-953,discuss aspect contact archiv text publish scope intern societi especi concern descript build theoret conceptu parallel contact aim systemat relat archiv scope descript bibliograph research isko literatur archiv literatur perform systemat possibl understand relationship carri strengthen make pivot contribut methodolog access seri languag structur system koss hand archiv simultan mani moment seek interlocut although superfici even unintent approxim essenti archiv descript aim construct ontolog taxonomi control vocabulari among other recent approxim must occur due chang happen last twenti year relat record manag peopl build seek possibl appli koss administr digit environ better archiv represent instrument,Cluster 11
140-120-127-320-865,purpos research ontolog subsequ test evalu identifi util valu domain chosen human nervou system disord hypothes ontolog patient record manag system effect meet address complex health care personnel therefor premis ontolog use compon search interfac hospit record manag system lead effici effect manag health care propos ontolog domain disord use standard vocabulari snome ct princip class ontolog facet analysi arrang concept common characterist build mutual exclus class combin facet theori descript logic help better queri retriev data implement ontolog model prot use ontolog editor use ontolog domain model acut help doctor search patient record show facet help build flexibl model retriev better use medic domain case show exampl implement,Cluster 07
145-162-485-543-214,about rank amongst greatest bugbear known mirror debat philosophi languag concept represent similarli evad satisfactori definit propos abandon strong sens word about seem promis inher relationship philosoph word world instead seek etymolog reset older sens about vicin nearbi place variou place nearbi surfac distinguish sens context introduc episemant independ appli slightli context scale hauser 2018a tenni 2016 articl unifi definit guidelin appli scale word result weak concept about pragmat star sens focu consequ anteced reserv space critiqu improv about determin variou context research program finish discuss implic concept episemant methodolog possibl offer research practic draw inspir melvil dewey use physic around first system ask around might effect operation digit environ,Cluster 07
152-347-604-820-830,basic concept univers scheme attempt encompass area human understand wherea univers scheme around scholarli disciplin instead around phenomena thing relationship exist among phenomena properti phenomena relat possess structur allow appli facet analysi without requir use facet indic main motiv recognit exist around disciplin serv interdisciplinari scholarship poorli complex concept might understood quit across group individu gener broken basic concept enough share understand purpos document idea object classifi synthet combin entri schedul phenomena relat properti inclus separ schedul gener verb like relat unusu aspect schedul properti serv adject adverb allow product sentenc like string document classifi main argument made document precis descriptor document combin phenomena relat properti synthet terminolog employ reduc terminolog ambigu still flesh certain respect appli applic feasibl desir adequ assess,Cluster 04
173-877-453-721-519,use metadata fond chen cheng paint document databas archiv institut taiwan histori academia sinica taiwan enhanc semant data model convert data link data project focus data model data reconcili data enrich research question origin rich contextu archiv materi lod task integr heterogen dataset world resourc archiv museum view distinct ad valu semant metadata archiv instanc schema type enrich project adopt europeana data model main model extend properti fit contextu characterist archiv materi variou method explor preserv hierarch structur context archiv materi enrich semant data connect data sourc institut propos enrich data semant directli use extern vocabulari reconcil local link link data sourc introduc contextu class appropri contextu entiti util name entiti extract result contribut best practic link data art relat archiv materi,Cluster 07
187-701-961-076-877,consid distinct disciplinari focu strong connect intellectu domain philosophi comput psycholog sociolog given inher interdisciplinar ask might map physic cultur intellectu geographi commun look like particip disciplin scholarli discuss locat geograph intellectu use unit authorship journal nexu activ pattern authorship identifi indic gener describ commun research evolv cultur characterist appli len explor particip intern convers world bank gni capita estim use compar rel wealth countri hofsted individu dimens identifi understand attribut countri whose scholar particip dialog descript statist gener excel data visual render tableau public tagcrowd current project offer method examin intern interdisciplinari suggest potenti analyz interdisciplinari area larger disciplin,Cluster 05
